obs order,date,trial,trial duration (h),possible donor list,receiver,donor,duration,duration.rate
1,2010.12.06,1,2,1,mya,bella,1662,831
2,2010.12.07,2,2,2,thecount,bella,16,8
3,2010.12.07,2,2,2,thecount,veronica,174,87
4,2010.12.08,3,2,3,tequila,,0,0
5,2010.12.09,4,2,4,cerce,maribelo,24,12
6,2010.12.09,4,2,4,cerce,vampirella,149,74.5
7,2010.12.09,4,2,4,cerce,bella,507,253.5
8,2010.12.09,4,2,4,cerce,countess,532,266
9,2010.12.10,5,2,5,gelfling,,0,0
10,2010.12.11,6,2,6,bella,vampirella,5,2.5
11,2010.12.11,6,2,6,bella,lucy,6,3
12,2010.12.11,6,2,6,bella,fuschia,14,7
13,2010.12.11,6,2,6,bella,helsing,32,16
14,2010.12.11,6,2,6,bella,countess,190,95
15,2010.12.11,6,2,6,bella,maribelo,316,158
16,2010.12.11,6,2,6,bella,cerce,5,2.5
17,2010.12.11,6,2,6,bella,mya,7,3.5
18,2010.12.12,7,2,7,streblick,mya,3315,1657.5
19,2010.12.13,8,2,8,helsing,lucy,5,2.5
20,2010.12.13,8,2,8,helsing,countess,43,21.5
21,2010.12.13,8,2,8,helsing,mya,562,281
22,2010.12.14,9,2,9,fuschia,countess,5,2.5
23,2010.12.14,9,2,9,fuschia,veronica,384,192
24,2010.12.14,9,2,9,fuschia,bella,71,35.5
25,2010.12.15,10,2,10,parmalee,,0,0
26,2010.12.17,11,2,11,vampirella,gelfling,632,316
27,2010.12.17,11,2,11,vampirella,mya,1333,666.5
28,2010.12.18,12,2,12,veronica,countess,232,116
29,2010.12.18,12,2,12,veronica,mya,1356,678
30,2010.12.18,12,2,12,veronica,thecount,637,318.5
31,2010.12.19,13,2,13,maribelo,lucy,1577,788.5
32,2010.12.19,13,2,13,maribelo,bella,37,18.5
33,2010.12.21,14,2,14,lucy,countess,52,26
34,2010.12.21,14,2,14,lucy,maribelo,54,27
35,2010.12.27,15,2,15,veronica,countess,85,42.5
36,2010.12.27,15,2,15,veronica,bella,77,38.5
37,2010.12.27,15,2,15,veronica,mya,1068,534
38,2010.12.27,15,2,15,veronica,thecount,289,144.5
39,2010.12.28,16,2,16,cerce,countess,630,315
40,2010.12.28,16,2,16,cerce,mya,135,67.5
41,2010.12.28,16,2,16,cerce,bella,535,267.5
